Law,Function 
Gaussian (normal),"rnorm(n, mean=0, sd=1) "
Exponential,"rexp(n, rate=1) "
Gamma,"rgamma(n, shape, scale=1) "
Poisson,"rpois(n, lambda) "
Weibull,"rweibull(n, shape, scale=1) "
Cauchy,"rcauchy(n, location=0, scale=1) "
Beta,"rbeta(n, shape1, shape2) "
'Student' (t),"rt(n, df) "
Fisher-Snedecor (F),"rf(n, df1, df2) "
Pearson (?2),"rchisq(n, df) "
Binomial,"rbinom(n, size, prob) "
Multinomial,"rmultinom(n, size, prob) "
Geometric,"rgeom(n, prob) "
Hypergeometric,"rhyper(nn, m, n, k) "
Logistic,"rlogis(n, location=0, scale=1) "
Lognormal,"rlnorm(n, meanlog=0, sdlog=1) "
Negative binomial,"rnbinom(n, size, prob) "
Uniform,"runif(n, min=0, max=1) "
Wilcoxin's statistics,"rwilcox(nn, m, n), rsignrank(nn, n)"
